,uri,count
0,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,1
1,spotify:track:2Fxmhks0bxGSBdJ92vM42m,1
2,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,1
3,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,1
4,spotify:track:2YpeDb67231RjR0MgVLzsG,1
5,spotify:track:0hVXuCcriWRGvwMV1r5Yn9,1
6,spotify:track:7xQAfvXzm3AkraOtGPWIZg,1
7,spotify:track:7qEHsqek33rTcFNT9PFqLf,1
8,spotify:track:5w9c2J52mkdntKOmRLeM2m,1
9,spotify:track:2VxeLyX666F8uXCJ0dZF8B,1
10,spotify:track:2dpaYNEQHiRxtZbfNsse99,1
11,spotify:track:5p7ujcrUXASCNwRaWNHR1C,1
12,spotify:track:5iwz1NiezX7WWjnCgY5TH4,1
13,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,1
14,spotify:track:22vgEDb5hykfaTwLuskFGD,1
15,spotify:track:25sgk305KZfyuqVBQIahim,1
16,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,1
17,spotify:track:4SSnFejRGlZikf02HLewEF,1
18,spotify:track:0F7FA14euOIX8KcbEturGH,1
19,spotify:track:6TqXcAFInzjp0bODyvrWEq,1
20,spotify:track:43zdsphuZLzwA9k4DJhU0I,1
21,spotify:track:70eFcWOvlMObDhURTqT4Fv,1
22,spotify:track:1rgnBhdG2JDFTbYkYRZAku,1
23,spotify:track:4kV4N9D1iKVxx1KLvtTpjS,1
24,spotify:track:2JvzF1RMd7lE3KmFlsyZD8,1
25,spotify:track:6vBdBCoOhKHiYDDOcorfNo,1
26,spotify:track:1rqqCSm0Qe4I9rUvWncaom,1
27,spotify:track:0KoiMHhqKLoL4xM54rcWYY,1
28,spotify:track:1lOe9qE0vR9zwWQAOk6CoO,1
29,spotify:track:0u2P5u6lvoDfwTYjAADbn4,1
30,spotify:track:2xLMifQCjDGFmkHkpNLD9h,1
31,spotify:track:2IRZnDFmlqMuOrYOLnZZyc,1
32,spotify:track:5WHTFyqSii0lmT9R21abT8,1
33,spotify:track:2TH65lNHgvLxCKXM3apjxI,1
34,spotify:track:116H0KvKr2Zl4RPuVBruDO,1
35,spotify:track:5qmq61DAAOUaW8AUo8xKhh,1
36,spotify:track:7FGq80cy8juXBCD2nrqdWU,1
37,spotify:track:4u7EnebtmKWzUH433cf5Qv,1
38,spotify:track:5W83ErFkO3aKAIS1WMi6u0,1
39,spotify:track:2ksOAxtIxY8yElEWw8RhgK,1
40,spotify:track:2bT1PH7Cw3J9p3t7nlXCdh,1
41,spotify:track:1Ej96GIBCTvgH7tNX1r3qr,1
42,spotify:track:7COXchtUOMd6uIT6HvmRaI,1
43,spotify:track:1DFD5Fotzgn6yYXkYsKiGs,1
44,spotify:track:2x0RZdkZcD8QRI53XT4GI5,1
45,spotify:track:7dt6x5M1jzdTEt8oCbisTK,1
46,spotify:track:4t9a07PAghtQMRAIP9FQ7Z,1
47,spotify:track:132ALUzVLmqYB4UsBj5qD6,1
48,spotify:track:2qxmye6gAegTMjLKEBoR3d,1
49,spotify:track:0e7ipj03S05BNilyu5bRzt,1
